policy_id,customer_id,start_date,end_date,coverage_type
1001,551,2023-10-29,2025-04-23,auto
1002,592,2023-10-27,2024-12-10,auto
1003,514,2024-04-12,2025-01-20,life
1004,571,2024-02-26,2024-06-21,home
1005,560,2023-09-21,2025-01-30,home
1006,520,2023-10-03,2025-03-25,home
1007,582,2024-02-16,2024-06-16,auto
1008,586,2024-01-22,2025-03-12,auto
1009,574,2023-11-23,2025-01-06,travel
1010,574,2024-03-05,2024-05-29,auto
1011,587,2023-10-26,2025-01-24,auto
1012,599,2023-08-18,2024-12-17,auto
1013,523,2023-07-29,2025-03-14,home
1014,502,2024-05-04,2025-01-03,home
1015,521,2023-05-30,2024-10-22,auto
1016,552,2023-12-04,2025-05-04,home
1017,501,2023-06-08,2024-07-19,travel
1018,587,2023-09-14,2024-07-09,home
1019,529,2024-04-14,2024-11-10,travel
1020,537,2024-03-11,2024-12-31,life
1021,501,2023-10-28,2024-11-29,auto
1022,563,2023-08-08,2025-04-04,home
1023,559,2023-10-08,2024-11-12,travel
1024,520,2024-02-07,2024-09-17,life
1025,532,2024-02-19,2024-05-18,life
1026,575,2023-11-05,2025-03-05,home
1027,557,2023-07-23,2025-04-18,home
1028,521,2024-02-27,2024-06-12,life
1029,588,2023-08-25,2024-07-19,auto
1030,548,2023-10-12,2025-03-04,auto
1031,590,2023-08-02,2024-09-26,travel
1032,558,2024-04-28,2025-01-16,auto
1033,541,2023-08-05,2024-08-28,life
1034,591,2023-09-09,2024-07-15,life
1035,559,2023-12-07,2024-08-17,life
1036,579,2023-09-22,2024-10-26,auto
1037,514,2023-09-26,2025-03-08,travel
1038,561,2023-07-01,2024-05-30,auto
1039,561,2023-08-26,2024-10-06,travel
1040,546,2023-11-11,2024-09-04,auto
1041,561,2024-02-13,2024-05-26,life
1042,550,2024-01-13,2025-02-28,life
1043,554,2023-08-13,2025-02-18,home
1044,563,2023-07-14,2024-06-30,auto
1045,502,2023-05-22,2024-09-24,auto
1046,550,2023-11-02,2024-09-24,home
1047,506,2023-05-12,2024-05-15,life
1048,520,2023-06-11,2024-05-24,auto
1049,572,2023-06-07,2024-05-28,home
1050,538,2023-07-01,2024-10-19,auto
1051,517,2024-01-16,2024-06-19,travel
1052,503,2024-02-28,2024-08-10,life
1053,588,2023-06-08,2024-12-23,travel
1054,559,2023-08-30,2024-12-20,life
1055,513,2023-11-07,2024-12-10,home
1056,508,2023-07-29,2025-02-13,life
1057,589,2024-02-05,2025-01-03,life
1058,552,2024-04-30,2024-07-21,home
1059,501,2023-07-09,2024-12-07,life
1060,583,2023-10-19,2024-09-24,auto
1061,591,2023-06-10,2025-02-16,home
1062,559,2023-10-23,2024-11-08,home
1063,570,2024-02-06,2024-05-18,home
1064,543,2023-11-05,2025-03-05,travel
1065,507,2024-04-22,2024-12-09,travel
1066,546,2024-02-03,2024-06-11,life
1067,534,2023-09-18,2024-12-13,home
1068,577,2024-01-12,2024-06-09,life
1069,580,2023-11-27,2025-01-12,auto
1070,535,2024-03-27,2024-09-15,home
1071,549,2024-03-19,2024-05-10,auto
1072,503,2023-10-15,2024-08-11,life
1073,501,2023-09-16,2025-01-29,travel
1074,505,2023-07-13,2024-05-15,life
1075,553,2023-06-26,2025-02-03,auto
1076,503,2024-02-14,2024-10-19,home
1077,553,2023-11-18,2024-06-30,life
1078,592,2023-11-07,2024-10-06,home
1079,562,2024-01-16,2024-08-07,travel
1080,517,2024-02-06,2024-12-31,travel
1081,589,2024-02-05,2024-11-24,travel
1082,543,2024-04-05,2025-01-09,home
1083,533,2024-01-24,2024-11-14,life
1084,573,2024-03-12,2024-06-20,home
1085,561,2024-02-22,2025-04-30,home
1086,599,2023-05-06,2025-01-13,life
1087,513,2023-12-25,2024-06-24,travel
1088,594,2024-01-24,2025-04-10,travel
1089,547,2023-10-05,2024-12-29,life
1090,514,2024-03-16,2024-11-15,home
1091,571,2023-10-03,2024-11-16,home
1092,577,2024-03-02,2025-03-08,travel
1093,586,2023-12-29,2024-08-05,auto
1094,561,2023-08-09,2025-01-13,auto
1095,539,2023-06-24,2024-11-17,auto
1096,584,2024-03-15,2025-02-13,home
1097,579,2024-04-08,2025-01-10,home
1098,581,2023-09-18,2024-06-20,travel
1099,552,2024-05-01,2025-01-21,auto
1100,523,2023-07-18,2024-10-26,travel
